12;22
Хамовники;778 434 руб/м?
Арбат;709 761 руб/м?
Якиманка;696 347 руб/м?
Пресненский;591 162 руб/м?
Тверской;569 725 руб/м?
Замоскворечье;483 812 руб/м?
Мещанский;479 132 руб/м?
Басманный;436 203 руб/м?
Раменки;422 163 руб/м?
Очаково-Матвеевское;418 439 руб/м?
Дорогомилово;393 569 руб/м?
Красносельский;385 268 руб/м?
Таганский;368 747 руб/м?
Донской;368 260 руб/м?
Хорошёвский;360 446 руб/м?
Крылатское;336 664 руб/м?
Тропарёво-Никулино;335 789 руб/м?
Гагаринский;332 305 руб/м?
Проспект Вернадского;328 675 руб/м?
Фили-Давыдково;305 037 руб/м?
Щукино;296 832 руб/м?
Беговой;287 795 руб/м?
Сокольники;287 415 руб/м?
Покровское-Стрешнево;283 820 руб/м?
Обручевский;276 881 руб/м?
Сокол;272 132 руб/м?
Марьина роща;269 524 руб/м?
Ломоносовский;265 154 руб/м?
Даниловский;263 879 руб/м?
Войковский;263 649 руб/м?
Останкинский;263 489 руб/м?
Филёвский парк;262 072 руб/м?
Академический;259 369 руб/м?
Хорошёво-Мнёвники;258 012 руб/м?
Черёмушки;253 772 руб/м?
Аэропорт;253 142 руб/м?
Кунцево;247 440 руб/м?
Алексеевский;236 290 руб/м?
Южнопортовый;236 021 руб/м?
Можайский;231 779 руб/м?
Савёловский;229 947 руб/м?
Строгино;226 977 руб/м?
Преображенское;222 662 руб/м?
Тимирязевский;221 523 руб/м?
Бутырский;220 109 руб/м?
Коньково;217 165 руб/м?
Свиблово;216 392 руб/м?
Тёплый Стан;211 768 руб/м?
Нагатинский затон;211 407 руб/м?
Котловка;210 452 руб/м?
Зюзино;210 031 руб/м?
Марфино;209 585 руб/м?
Измайлово;209 522 руб/м?
Лефортово;209 102 руб/м?
Чертаново Северное;202 813 руб/м?
Нагорный;202 639 руб/м?
Левобережный;201 512 руб/м?
Богородское;198 860 руб/м?
Ростокино;196 788 руб/м?
Бабушкинский;196 641 руб/м?
Соколиная гора;196 469 руб/м?
Восточное Измайлово;196 026 руб/м?
Нагатино-Садовники;194 252 руб/м?
Головинский;193 542 руб/м?
Коптево;192 578 руб/м?
Северное Тушино;192 272 руб/м?
Куркино;191 440 руб/м?
Южное Тушино;190 645 руб/м?
Ясенево;188 547 руб/м?
Орехово-Борисово Северное;185 977 руб/м?
Нижегородский;185 316 руб/м?
Бескудниковский;184 695 руб/м?
Кузьминки;184 396 руб/м?
Ховрино;184 008 руб/м?
Южное Медведково;183 039 руб/м?
Москворечье-Сабурово;182 838 руб/м?
Северное Медведково;182 769 руб/м?
Царицыно;182 322 руб/м?
Северное Измайлово;181 633 руб/м?
Новогиреево;180 972 руб/м?
Отрадное;180 734 руб/м?
Чертаново Центральное;180 148 руб/м?
Чертаново Южное;179 850 руб/м?
Лианозово;179 824 руб/м?
Северное Бутово;177 733 руб/м?
Перово;176 472 руб/м?
Рязанский;176 118 руб/м?
Лосиноостровский;175 877 руб/м?
Митино;175 778 руб/м?
Печатники;175 604 руб/м?
Алтуфьевский;173 135 руб/м?
Метрогородок;172 405 руб/м?
Гольяново;170 778 руб/м?
Текстильщики;170 227 руб/м?
Восточное Дегунино;169 964 руб/м?
Братеево;168 625 руб/м?
Орехово-Борисово Южное;167 938 руб/м?
Марьино;167 705 руб/м?
Бибирево;166 621 руб/м?
Выхино-Жулебино;166 333 руб/м?
Люблино;165 432 руб/м?
Дмитровский;164 640 руб/м?
Ивановское;164 158 руб/м?
Вешняки;163 406 руб/м?
Солнцево;162 812 руб/м?
Зябликово;161 834 руб/м?
Сосенское;161 012 руб/м?
Ярославский;159 997 руб/м?
Западное Дегунино;159 935 руб/м?
Косино-Ухтомский;158 198 руб/м?
Новокосино;158 196 руб/м?
Северный;156 764 руб/м?
Ново-Переделкино;154 734 руб/м?
Бирюлёво Восточное;151 465 руб/м?
Южное Бутово;151 176 руб/м?
Московский;150 257 руб/м?
Внуковское;149 863 руб/м?
Бирюлёво Западное;140 813 руб/м?
Савёлки;139 724 руб/м?
Воскресенское;136 621 руб/м?
Капотня;136 542 руб/м?
Восточный;134 227 руб/м?
Некрасовка;133 337 руб/м?
Старое Крюково;132 233 руб/м?
Крюково;130 822 руб/м?
Матушкино;130 243 руб/м?
Силино;129 789 руб/м?
Десёновское;129 075 руб/м?
Внуково;128 995 руб/м?
Троицк;126 535 руб/м?
Молжаниновский;121 769 руб/м?
Щербинка;119 095 руб/м?
Рязановское;113 076 руб/м?
Кокошкино;111 541 руб/м?
Мосрентген;111 288 руб/м?
Марушкинское;103 897 руб/м?
Филимонковское;103 371 руб/м?
Первомайское;102 638 руб/м?
Киевский;99 192 руб/м?
Краснопахорское;95 215 руб/м?
Михайлово-Ярцевское;93 939 руб/м?
Вороновское;93 047 руб/м?
Щаповское;87 380 руб/м?
Новофёдоровское;75 518 руб/м?
Клёновское;67 478 руб/м?
Роговское;58 223 руб/м?
